freq,spl
100.0,15.250140013275333
125.0,21.22670246926529
160.0,27.08076387599279
200.0,31.659515175552407
250.0,35.547807527426784
315.0,38.904535712926005
400.0,41.788908408542156
500.0,44.10957110829554
630.0,46.42289810811572
800.0,49.04024606375544
1000.0,51.62364771960311
1250.0,54.03486542852982
1600.0,56.524450021521126
2000.0,58.82496401209633
2500.0,61.982498037283456
3150.0,64.4917069445532
4000.0,66.06213083377207
5000.0,70.03729523307412
6300.0,74.15553268290806
8000.0,60.74661272166372
10000.0,47.40653750923582
12500.0,40.868411629504216
16000.0,37.714733872972765
20000.0,35.02826688582731
25000.0,32.1676806218598
31500.0,28.989231581803878
40000.0,25.431731767601864
